RecentDecline,HistoricDecline,RecentIncrease,HistoricIncrease,WeakSupport
Declined between 1981-2000 and 2001-2020,Declined between 1900-1920 and 2001-2020,Increased between 1981-2000 and 2001-2020,Increased between 1900-1920 and 2001-2020,No significant change over recent or historical time frames
Brachypalpus femoratus,Brachypalpus femoratus,Eristalis tenax,Allograpta obliqua,Arctosyrphus (Lejops) willingii
Platycheirus angustatus,Platycheirus angustatus,"Lapposyrphus (Eupeodes,Metasyrphus) lapponicus",Baccha elongata,Baccha cognata
Platycheirus immarginatus (felix),Platycheirus luteipennis,Mallota (Imatisma) bautias,Blera badia,Blera nigra
Platycheirus modestus,Sphaerophoria scripta (menthastri),Sphegina rufiventris,Copestylum vesicularium,Chalcosyrphus (Xylota) vecors
,,Syrphus opinator,Eristalis tenax,Cheilosia orilliaensis (consentiens)
,,,Eupeodes fumipennis,Cheilosia pallipes
,,,Hammerschmidtia (Brachyopa) rufa (ferruginea),Cheilosia prima
,,,Hypocritanus (Ocyptamus) lemur,Cheilosia rita (alpinensis)
,,,"Lapposyrphus (Eupeodes,Metasyrphus) lapponicus",Chrysogaster antitheus (ontario)
,,,Mallota (Imatisma) bautias,Chrysotoxum flavifrons
,,,Paragus haemorrhous,Chrysotoxum plumeum (perplexum)
,,,Platycheirus nearcticus,Chrysotoxum pubescens (luteopilosum)
,,,Sericomyia chalcopyga,Copestylum (Volucella) satur
,,,Syrphus opinator,Copestylum haagii
,,,Xylota subfasciata,Copestylum mexicanum
,,,,Copestylum violaceum
,,,,Criorhina caudata
,,,,Criorhina kincaidi
,,,,"Criorhina nigriventris (maritima,mystaceae)"
,,,,Dasysyrphus amalopis
,,,,Dasysyrphus creper
,,,,Dasysyrphus nigricornis
,,,,Eristalis rupium
,,,,Eumerus strigatus
,,,,Eupeodes perplexus
,,,,Hadromyia (Caliprobola) crawfordi
,,,,Hadromyia grandis
,,,,Hammerschmidtia sedmani
,,,,Helophilus groenlandicus
,,,,Helophilus lapponicus
,,,,Lejota aerea
,,,,Leucozona americana
,,,,Melangyna lasiophthalma
,,,,Microdon ruficrus (basicornis)
,,,,Myolepta pretiosa
,,,,Neoascia geniculata (conica)
,,,,Neoascia tenur
,,,,Parasyrphus semiinterruptus
,,,,Pipiza crassipes (oregona)
,,,,Pipiza quadrimaculata
,,,,Platycheirus aeratus (pauper)
,,,,Platycheirus hyperboreus (erraticus)
,,,,Platycheirus peltatoides
,,,,Platycheirus thylax
,,,,Platycheirus trichopus
,,,,Platycheirus yukonensis
,,,,Psilota buccata
,,,,Pterallastes thoracicus
,,,,Pyritis kincaidii (montigena)
,,,,Sericomyia bifasciata
,,,,Sericomyia sexfasciata
,,,,Sphecomyia brevicornis
,,,,Sphegina lobata
,,,,Sphegina petiolata
,,,,Spilomyia foxleei
,,,,Syrphus attenuatus
,,,,Syrphus rectus (transversalis)
,,,,Temnostoma alternans
,,,,Toxomerus occidentalis
,,,,Xylota angustiventris
,,,,Xylota flavifrons
