"","OperationalName","Synonyms","OperationalName_NoBrackets","Synonyms_NoOperationalName"
"57","Hybobathus (Ocyptamus) lineatus","Hybobathus lineatus, Ocyptamus lineatus","Hybobathus lineatus","Ocyptamus lineatus"
"58","Hypocritanus (Ocyptamus) fascipennis","Hypocritanus fascipennis, Ocyptamus fascipennis","Hypocritanus fascipennis","Ocyptamus fascipennis"
"59","Hypocritanus (Ocyptamus) lemur","Hypocritanus lemur, Ocyptamus lemur","Hypocritanus lemur","Ocyptamus lemur"
"60","Lapposyrphus (Eupeodes) aberrantis","Lapposyrphus aberrantis, Lapposyrphus abberrantis, Eupeodes abberrantis, Eupeodes aberrantis","Lapposyrphus aberrantis","Lapposyrphus abberrantis, Eupeodes abberrantis, Eupeodes aberrantis"
"61","Lapposyrphus (Eupeodes,Metasyrphus) lapponicus","Lapposyrphus lapponicus, Eupeodes lapponicus, Metasyrphus lapponicus","Lapposyrphus lapponicus","Eupeodes lapponicus, Metasyrphus lapponicus"
"62","Leucozona velutina","Leucozona velutinus","Leucozona velutina","Leucozona velutinus"
"63","Myathropa (Mallota) florea","Myathropa florea, Mallota florea","Myathropa florea","Mallota florea"
"64","Mallota illinoensis (palmerae)","Mallota palmerae, Mallota illinoensis","Mallota illinoensis","Mallota palmerae"
"65","Mallota (Imatisma) posticata (bardus,separata)","Mallota posticata, Mallota separata, Imatisma posticata, Imatisma bardus","Mallota posticata","Mallota separata, Imatisma posticata, Imatisma bardus"
"66","Mallota (Imatisma) bautias","Mallota bautias, Imatisma bautias","Mallota bautias","Imatisma bautias"
"67","Mallota sackeni (columbiae)","Mallota columbiae, Mallota sackeni","Mallota sackeni","Mallota columbiae"
"68","Megasyrphus (Eriozona) laxus","Megasyrphus laxus, Eriozona laxa","Megasyrphus laxus","Eriozona laxa"
"69","Melanostoma mellinum (angustatum,fallax,melanderi,pallitarsis)","Melanostoma mellina, Melanostoma angustatum, Melanostoma fallax, Melanostoma melanderi, Melanostoma pallitarsis, Melanostoma mellinum","Melanostoma mellinum","Melanostoma mellina, Melanostoma angustatum, Melanostoma fallax, Melanostoma melanderi, Melanostoma pallitarsis"
"70","Meligramma (Melangyna) triangulifera","Melangyna triangulifera, Meligramma triangulifera","Meligramma triangulifera","Melangyna triangulifera"
"71","Meligramma (Melangyna) guttata","Melangyna guttata, Meligramma guttata","Meligramma guttata","Melangyna guttata"
"72","Microdon globosus (hutchingsi)","Microdon hutchingsi, Microdon globosus","Microdon globosus","Microdon hutchingsi"
"73","Microdon ruficrus (basicornis)","Microdon basicornis, Microdon ruficrus","Microdon ruficrus","Microdon basicornis"
"74","Neoascia geniculata (conica)","Neoascia conica, Neoascia geniculata","Neoascia geniculata","Neoascia conica"
"75","Neoascia globosa (distincta)","Neoascia distincta, Neoascia globosa","Neoascia globosa","Neoascia distincta"
"76","Neocnemodon calcarata","Neocnemodon calcaratus","Neocnemodon calcarata","Neocnemodon calcaratus"
"77","Neocnemodon (Heringia) carinata","Neocnemodon carinata, Heringia carinata","Neocnemodon carinata","Heringia carinata"
"78","Neocnemodon (Heringia) coxalis","Neocnemodon coxalis, Heringia coxalis","Neocnemodon coxalis","Heringia coxalis"
"79","Orthonevra (Chrysogaster) parva","Orthonevra parva, Chrysogaster parva","Orthonevra parva","Chrysogaster parva"
"80","Paragus haemorrhous","Paragus hemorrhous","Paragus haemorrhous","Paragus hemorrhous"
"81","Parasyrphus groenlandica (bulbosus,interruptus)","Parasyrphus groenlandicus, Parasyrphus interruptus, Parasyrphus bulbosus, Parasyrphus groenlandica","Parasyrphus groenlandica","Parasyrphus groenlandicus, Parasyrphus interruptus, Parasyrphus bulbosus"
"82","Parasyrphus lineolus","Parasyrphus lineola","Parasyrphus lineolus","Parasyrphus lineola"
"83","Parhelophilus (Helophilus) obsoletus","Parhelophilus obsoletus, Helophilus obsoletus","Parhelophilus obsoletus","Helophilus obsoletus"
"84","Pelecinobaccha (Ocyptamus) costata","Pelecinobaccha costata, Ocyptamus costatus","Pelecinobaccha costata","Ocyptamus costatus"
"85","Pipiza crassipes (oregona)","Pipiza oregona, Pipiza crassipes","Pipiza crassipes","Pipiza oregona"
"86","Pipiza puella (nigrotibiata)","Pipiza nigrotibiata, Pipiza puella","Pipiza puella","Pipiza nigrotibiata"
"87","Platycheirus aeratus (pauper)","Platycheirus pauper, Platycheirus aeratus","Platycheirus aeratus","Platycheirus pauper"
"88","Platycheirus hyperboreus (erraticus)","Platycheirus erraticus, Platycheirus hyperboreus","Platycheirus hyperboreus","Platycheirus erraticus"
"89","Platycheirus immarginatus (felix)","Platycheirus felix, Platycheirus immarginatus","Platycheirus immarginatus","Platycheirus felix"
"90","Platycheirus latus","Platycheirus lata","Platycheirus latus","Platycheirus lata"
"91","Platycheirus naso (holarcticus)","Platycheirus holarcticus, Platycheirus naso","Platycheirus naso","Platycheirus holarcticus"
"92","Platycheirus parmatus (bigelowi)","Platycheirus bigelowi, Platycheirus parmatus","Platycheirus parmatus","Platycheirus bigelowi"
"93","Platycheirus pictipes (concinnus,rufimaculatus)","Platycheirus rufimaculatus, Platycheirus concinnus, Platycheirus pictipes","Platycheirus pictipes","Platycheirus rufimaculatus, Platycheirus concinnus"
"94","Platycheirus podagratus","Platycheirus podagrata","Platycheirus podagratus","Platycheirus podagrata"
"95","Platycheirus quadratus","Platycheirus quadtarus","Platycheirus quadratus","Platycheirus quadtarus"
"96","Polydontomyia (Lejops) curvipes","Polydontomyia curvipes, Lejops curvipes","Polydontomyia curvipes","Lejops curvipes"
"97","Pseudoscaeva (Ocyptamus) diversifasciata","Pseudoscaeva diversifasciatus, Pseudoscaeva diversifasciata, Ocyptamus diversifasciatus","Pseudoscaeva diversifasciata","Pseudoscaeva diversifasciatus, Ocyptamus diversifasciatus"
"98","Pyritis kincaidii (montigena)","Pyritis montigena, Pyritis kincaidii","Pyritis kincaidii","Pyritis montigena"
"99","Pyrophaena (Platycheirus) rosarum","Pyrophaena rosarum, Platycheirus rosarum","Pyrophaena rosarum","Platycheirus rosarum"
"100","Pyrophaena (Platycheirus) granditarsis","Pyrophaena granditarsis, Pyrophaena granditarsus, Platycheirus granditarsis, Platycheirus granditarsus","Pyrophaena granditarsis","Pyrophaena granditarsus, Platycheirus granditarsis, Platycheirus granditarsus"
"101","Rhopalosyrphus guentherii (carolae)","Rhopalosyrphus carolae, Rhopalosyrphus guentherii","Rhopalosyrphus guentherii","Rhopalosyrphus carolae"
"102","Scaeva affinis (pyrastri)","Scaeva affinis, Scaeva pyrastri","Scaeva affinis","Scaeva pyrastri"
"103","Serichlamys (Microdon) scutifer","Serichlamys scutifer, Microdon scutifer","Serichlamys scutifer","Microdon scutifer"
"104","Somula mississippiensis (marivirginiae)","Somula marivirginiae, Somula mississippiensis","Somula mississippiensis","Somula marivirginiae"
"105","Sphaerophoria contigua (cylindricus)","Sphaerophoria contiqua, Sphaerophoria cylindricus, Sphaerophoria contigua","Sphaerophoria contigua","Sphaerophoria contiqua, Sphaerophoria cylindricus"
"106","Sphaerophoria scripta (menthastri)","Sphaerophoria menthastri, Sphaerophoria scripta","Sphaerophoria scripta","Sphaerophoria menthastri"
"107","Sphaerophoria philanthus (dubia,nigritarsi,robusta)","Sphaerophoria philantha, Sphaerophoria dubia, Sphaerophoria nigritarsi, Sphaerophoria robusta, Sphaerophoria philanthus","Sphaerophoria philanthus","Sphaerophoria philantha, Sphaerophoria dubia, Sphaerophoria nigritarsi, Sphaerophoria robusta"
"108","Sphaerophoria pyrrhina (guttulata)","Sphaerophoria guttulata, Sphaerophoria pyrrhina","Sphaerophoria pyrrhina","Sphaerophoria guttulata"
"109","Sphecomyia (Chrysotoxum) vittata","Sphecomyia vittata, Chrysotoxum vittatum","Sphecomyia vittata","Chrysotoxum vittatum"
"110","Sphegina flavomaculata (notata)","Sphegina notata, Sphegina flavomaculata","Sphegina flavomaculata","Sphegina notata"
"111","Sphiximorpha (Ceriana) willistoni","Sphiximorpha willistoni, Ceriana willistoni","Sphiximorpha willistoni","Ceriana willistoni"
"112","Syrphus rectus (transversalis)","Syrphus transversalis, Syrphus rectus","Syrphus rectus","Syrphus transversalis"
"113","Syrphus ribesii (bigelowi)","Syrphus bigelowi, Syrphus ribesii","Syrphus ribesii","Syrphus bigelowi"
"114","Temnostoma daochus","Temnostoma daochum","Temnostoma daochus","Temnostoma daochum"
"115","Temnostoma venustum (nipigonensis)","Temnostoma nipigonensis, Temnostoma venustum","Temnostoma venustum","Temnostoma nipigonensis"
