"RecentDecline","ExceptionalRecentDecline","HistoricDecline","RecentGrowth","ExceptionalRecentGrowth","HistoricGrowth","NoDiscernibleTrend"
"Declined between 1900-1960 and 1961-2020","Occupancy in 1961-2020 is lower than all historical time periods. (A subset of Recent Decline and Historical Decline)","Declined between 1900-1960 and 1961-2020","Increased between 1900-1960 and 1961-2020","Occupancy in 1961-2020 is greater than all historical time periods (A subset of Recent Growth and Historical Growth)","Increased between 1900-1960 and 1961-2020","No significant change over recent or historical time frames"
"Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)","","Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)","Allograpta obliqua","","Allograpta obliqua","Chrysotoxum flavifrons"
"Eristalis brousii","","Eristalis brousii","Epistrophe grossulariae","","Epistrophe grossulariae","Dasysyrphus intrudens"
"Eumerus strigatus","","Eumerus strigatus","Eristalis flavipes","","Eristalis flavipes","Dioprosopa (Pseudodoros) clavatus"
"Helophilus latifrons","","Helophilus latifrons","Eristalis tenax","","Eristalis tenax","Eristalis anthophorina (bastardii)"
"Helophilus obscurus","","Helophilus obscurus","Eristalis transversa","","Eristalis transversa","Eristalis arbustorum"
"","","","Eupeodes americanus","","Eupeodes americanus","Eristalis dimidiata"
"","","","Helophilus fasciatus","","Helophilus fasciatus","Eristalis hirta"
"","","","Melanostoma mellinum (angustatum,fallax,melanderi,pallitarsis)","","Melanostoma mellinum (angustatum,fallax,melanderi,pallitarsis)","Eristalis nemorum (interrupta)"
"","","","Meliscaeva cinctella","","Meliscaeva cinctella","Eristalis obscura"
"","","","Merodon equestris","","Merodon equestris","Eristalis stipator"
"","","","Paragus haemorrhous","","Paragus haemorrhous","Eupeodes fumipennis"
"","","","Platycheirus obscurus","","Platycheirus obscurus","Eupeodes volucris"
"","","","Pyrophaena (Platycheirus) rosarum","","Pyrophaena (Platycheirus) rosarum","Helophilus lapponicus"
"","","","Sericomyia chrysotoxoides","","Sericomyia chrysotoxoides","Lapposyrphus (Eupeodes,Metasyrphus) lapponicus"
"","","","Sericomyia militaris","","Sericomyia militaris","Parasyrphus relictus"
"","","","Temnostoma excentrica (vespiforme)","","Temnostoma excentrica (vespiforme)","Parasyrphus tarsatus"
"","","","Toxomerus geminatus","","Toxomerus geminatus","Platycheirus confusus"
"","","","Toxomerus marginatus","","Toxomerus marginatus","Platycheirus hyperboreus (erraticus)"
"","","","","","","Platycheirus immarginatus (felix)"
"","","","","","","Platycheirus naso (holarcticus)"
"","","","","","","Platycheirus quadratus"
"","","","","","","Platycheirus scambus"
"","","","","","","Pyrophaena (Platycheirus) granditarsis"
"","","","","","","Rhingia nasica"
"","","","","","","Scaeva affinis (pyrastri)"
"","","","","","","Sericomyia chalcopyga"
"","","","","","","Sphaerophoria contigua (cylindricus)"
"","","","","","","Sphaerophoria philanthus (dubia,nigritarsi,robusta)"
"","","","","","","Syritta pipiens"
"","","","","","","Syrphus opinator"
"","","","","","","Syrphus rectus (transversalis)"
"","","","","","","Syrphus ribesii (bigelowi)"
"","","","","","","Syrphus torvus"
"","","","","","","Syrphus vitripennis"
"","","","","","","Temnostoma alternans"
"","","","","","","Temnostoma balyras"
"","","","","","","Toxomerus occidentalis"
"","","","","","","Tropidia quadrata"
"","","","","","","Volucella facialis (lateralis,rufomaculata)"
"","","","","","","Xylota quadrimaculata (artemita)"
"","","","","","","Xylota subfasciata"
